1,stu-miR398b-3p, Response to Drought Tolerance,"1.	in order to withstand heat stress, target genes CSD1, CSD2, and CCS (copper chaperone) downregulate the expression of mature miR398 in Arabidopsis thaliana.
https://onlinelibrary.wiley.com/doi/full/10.1111/tpj.12169

2.	miR398a/b expression was down-regulated in the roots and buds of pea (Pisum sativum L.) under water shortage circumstances, while CSD1 expression was up-regulated, which contributed to pea resilience to water deficit stress 
https://doi.org/10.1016/j.plaphy.2014.07.008
3.	 miR398 can control the PetE2 gene, which links copper levels in Arabidopsis to the production of three important chloroplast copper proteins, plastid protein, CCS1 and CSD2, and other proteins https://doi.org/10.1016/j.febslet.2012.07.049
4.	MiR398 was also found to be involved in the regulation of CSD decomposition of superoxide root ions in rice, tobacco, maize and other plants. ", Zheng et al. 2014 
2, Stu-mi164 ,resistance to osmotic stress.,"1.	In Brassica and rice seedlings, miR164 was shown to target a NAC TF, whose expression was negatively correlated with miR164 under stress conditions including drought, salinity, and high-temperature https://pubmed.ncbi.nlm.nih.gov/24671003/ https://pubmed.ncbi.nlm.nih.gov/24604734/
2.	Arabidopsis thaliana miR164 plays an important role in the process in regulating the meristem border size, differentiation of embryo and formation of floral organ https://pubmed.ncbi.nlm.nih.gov/16172526/
3.	miR164 identified from drought-stress roots of wheat can be used as candidate to develop tolerant variety to explore and exploit the drought response for future studies. https://pubmed.ncbi.nlm.nih.gov/26174050/",Zhang et al. 2018
3, stu-novel-miR28211 ,High-Throughput MicroRNA and mRNA Sequencing Reveals that MicroRNAs may be Involved in Peroxidase-Mediated Cold Tolerance in Potato,1.High-Throughput MicroRNA and mRNA Sequencing Reveals That MicroRNAs May Be Involved in Melatonin-Mediated Cold Tolerance in Citrullus lanatus L.   https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4983558/,Liao et al.2021
4,miR172,Graft-transmissible induction of potato tuberization by the microRNA miR172 ,"•	microRNA 172 (miR172) plays a role in the timing of flowering and vegetative phase change.
https://pubmed.ncbi.nlm.nih.gov/14555699/

•	it is also involved in a photoperiodic pathway controlling flowering in Arabidopsis thaliana .
https://pubmed.ncbi.nlm.nih.gov/17890372/

•	Like most plant microRNAs (miRNAs), miR172 can both repress translation and induce degradation of its target mRNAs.
•	microRNA172 down-regulates glossy15 to promote vegetative phase change in maize
https://pubmed.ncbi.nlm.nih.gov/15958531/", Martin et al. 2009
5,miR172d,Identification of the miRNAs and their target genes involved in fresh-cut potato browning inhibition by nitrogen,1.miRNA and Degradome Sequencing Identify miRNAs and Their Target Genes Involved in the Browning Inhibition of Fresh-Cut Apples by Hydrogen Sulfide.https://pubs.acs.org/doi/abs/10.1021/acs.jafc.0c02473,Wang et al. 2022
6, miR396,miRNAs Involving Potato-Phytophthora infestans Interaction,"•	target genes are evolutionarily conserved in P. infestans, coding fibronectin type III domain proteins.
•	miR394 and its target gene LEAF CURLING RESPONSIVENESS (LCR) in A. thaliana responded to drought stress in an abscisic acid-dependent manner
https://link.springer.com/article/10.1186/1471-2229-13-210
•	miR394 has been shown to be involved in plant development and inhibits leaf tilt in rice by targeting the leaf tilt gene (LC4) https://pubmed.ncbi.nlm.nih.gov/30144351/
•	The stable transformation of miR394 in Brassica napus results in changes in fruit and seed development.
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0125427",Luo et al.2023
7,miR172b-3p, Individual and combined effect of drought and heat stresses in contrasting potatocultivars overexpressing miR172b-3p.,1.Genome-Wide Identification and Characterization of AP2/ERF Transcription Factor Family Genes in Oil Palm under Abiotic Stress Conditions. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8000548/       ,Asim et al.2021
8,stu-miR159a,miR159s and their target genes and expression analysis under drought stress in potato,·        Suppression of microRNA159 impacts multiple agronomic traits in rice (Oryza sativa L.)https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5699021/,Iqbal et al. 2016
9,"amiRNA-159P25, amiRNA-159HCPro and amiRNA-159Brp1(The 228 bp backbone of pre-miRNA159 of Arabidopsis was used to generate artificial pre-miRNA159 )",novel amiRNA-based mechanism that may have the potential to develop multiple viral resistance strategies in potato.,1.An effective artificial microRNA vector based on Fv-miR166 precursor from strawberry. https://www.sciencedirect.com/science/article/pii/S0304423819305321?casa_token=aY1znOIVgpMAAAAA:iKUKqAXXy_VZTDWMDoLfmJtI96e_O6ATHSlb_3DzV3OPG21Xsu-f8gtlxgz7LTfAD978AIht6A.,Jiang et al.2023
10,miR172, In silico analysis cloning and overexpression of miR172 in potato (Solanum tuberosum L. SSP andigena),1.Systematic analyses of the MIR172 family members of Arabidopsis define their distinct roles in regulation of APETALA2 during floral transition.                 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7853530/,ANJAN K. et al.2011
11, stu-miR396-5p,Screening of differentially expressed microRNAs and target genes in two potato varieties under nitrogen stress.,nil,Lu et al.2022
12,"miR172
",Photoperiodic inhibition of potato tuberization: an update,1.CONSTANS acts in the phloem to regulate a systemic signal that induces photoperiodic flowering of Arabidopsis .  https://journals.biologists.com/dev/article/131/15/3615/42501/CONSTANS-acts-in-the-phloem-to-regulate-a-systemic,Sarkar et al. 2010
13,"stu-miR8030-5p/StCPY714
",A Comprehensive Interaction Network Constructed Using miRNAs and mRNAs Provides New Insights into Potato Tuberization under High Temperatures,1.Potato tuberization is regulated by a series of tuberigen formation factors. StSP6A is the pivotal tuberization regulator homologous to Arabidopsis FLOWERING LOCUS T (FT). https://www.sciencedirect.com/science/article/pii/S1369526614001423?casa_token=-FDjRpfjEm0AAAAA:Z8jj0nKdyhtnr-aDIVlsWGrRKC37SYaZDJbwyMyi-3S3RYFVb-07GyYbDrHREysWFtLVNFeX1g,He et al.2024
14,StmiR858," R2R3-MYB transcription factors, StmiR858 and sucrose mediate potato flavonol biosynthesis.",1.Overexpression of MYB12 in tomato increased the flavonol content.         https://pubmed.ncbi.nlm.nih.gov/18643978/,Lin et al.2021
15,miR166 ,Salt/alkaline responsive miRNAs in potato,1.The microRNA159-regulated GAMYB-like genes inhibit growth and promote programmed cell death in Arabidopsis. https://pubmed.ncbi.nlm.nih.gov/20699403/,Kitazumi et al.2015
16,"artificial miRNA- 
amiR80.1-8
and amiR80.2-14","Down-regulation of CBP80 gene expression as a strategy to engineer a
drought-tolerant potato","1. An accumulation of RAB18 (responsiveto ABA 18, AT5G66400) mRNA occurs in Arabidopsis plantsexposed to low temperature, water stress or exogenous ABA (Lang& Palva, 1992). https://pubmed.ncbi.nlm.nih.gov/1463831/",Pieczynski et al.2012
17,miR171,miR171 Family Members are Involved in Drought Response in Solanum tuberosum,1.The salt- and drought-inducible poplar GRAS protein SCL7 confers salt and drought tolerance in Arabidopsis thaliana.   https://pubmed.ncbi.nlm.nih.gov/20616154/,Hwang et al.2011
18,nta-miR6019 (22-nt) ,conserved role for miRNAs and secondary siRNAs in NB-LRR/LRR immune receptor gene regulation and pathogen resistance in Solanaceae.,Sequence comparisons between the tomato sly-premiR6022 inverted repeat sequences and the tomato Hcr9-0 gene targeted by sly-miR6022 identified homology between sly-premiR6022 and Hcr9-0,Li et al.2012
19,miR394,Potato miR394 targets StA/N-INVE and StLCR to negatively regulate late blight resistance,1. miR394 regulates the growth and development of plants by targeting the genes involved in the signaling pathways related to auxin and other growth factors. https://www.sciencedirect.com/science/article/pii/S2352407315000396,Sun et al.2024
20,stu-miR530,"miRNAs and their targets involved in responding to abiotic stress including low temperature, high temperature, drought, soil salinity, and heavy metals, as well as plant-growing development.","1.Integration of sRNA, degradome, transcriptome analysis and functional investigation reveals gma-miR398c negatively regulates drought tolerance via GmCSDs and GmCCS in transgenic Arabidopsis and soybean..https://link.springer.com/article/10.1186/s12870-020-02370-y",Zhang et al.2022
21,MicroRNA156 (miR156),miR156 is a potential graft-transmissible signal that affects plant architecture and tuberization in potato (Solanum tuberosum).miR156 is a phloem-mobile signal regulating potato development.,"1.roles of miR156 and miR172 were  reported in rice (Oryza sativa). https://pubmed.ncbi.nlm.nih.gov/16861571/
2.roles of miR156 and miR172 were  reported in maize.
https://pubmed.ncbi.nlm.nih.gov/17369828/
3.In Arabidopsis, miR156 overexpression results in a prolonged juvenile phase and a delay in flowering, with increased branching and production of a large number of leaves .
https://pubmed.ncbi.nlm.nih.gov/21896627/
4.Overexpression of miR156 in switchgrass (Panicum virgatum L.) results in various morphological alterations and leads to improved biomass production.
https://pubmed.ncbi.nlm.nih.gov/22239253/
5.Over-expression of sly-miR156a in tomato results in multiple vegetative and reproductive trait alterations and partial phenocopy of the sft mutant.
https://pubmed.ncbi.nlm.nih.gov/21187095/
6.MicroRNAs prevent precocious gene expression and enable pattern formation during plant embryogenesis
https://pubmed.ncbi.nlm.nih.gov/21123653/
7.Negative regulation of anthocyanin biosynthesis in Arabidopsis by a miR156-targeted SPL transcription factor
https://pubmed.ncbi.nlm.nih.gov/21487097/
8.miR156-targeted and nontargeted SBP-box transcription factors act in concert to secure male fertility in Arabidopsis
https://pubmed.ncbi.nlm.nih.gov/21177480/
9.A systemic small RNA signaling system in plants.
https://pubmed.ncbi.nlm.nih.gov/15258266/", Bhogale et al.2013
